id,warehouse_id,taxon,form,colour {filter []},colour {filter []},colour {filter []},colour {filter []},colour {comment},size {filter []},size {filter []},size {filter []},size {filter []},size {comment},pronotum {filter []},pronotum {filter []},pronotum {filter []},pronotum {comment},pattern,spots,spot_fusions,melanic,leg,food [],food [],food [],UK {exist},UK {order},UK {common_name},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {comment[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {habitat {filter[]}},UK {plant[]},UK {plant[]},UK {plant[]},UK {overwintering},UK {comment},SK {exist},SK {order},SK {common_name},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {comment[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {habitat {filter[]}},SK {plant[]},SK {plant[]},SK {plant[]},SK {overwintering []},SK {comment_EN},SK {comment},CZ {exist},CZ {order},CZ {common_name},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {comment[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {habitat {filter[]}},CZ {plant[]},CZ {plant[]},CZ {plant[]},CZ {overwintering []},CZ {comment_EN},CZ {comment},IT {exist},IT {order},IT {common_name},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {comment[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {habitat {filter[]}},IT {plant[]},IT {plant[]},IT {plant[]},IT {overwintering []},IT {comment_EN},IT {comment},PT {exist},PT {order},PT {common_name},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {comment[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {habitat {filter[]}},PT {plant[]},PT {plant[]},PT {plant[]},PT {overwintering []},PT {comment_EN},PT {comment},BE {exist},BE {order},BE {common_name {NL}},BE {common_name {FR}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {comment[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {habitat {filter[]}},BE {plant[]},BE {plant[]},BE {plant[]},BE {overwintering []},BE {comment_EN},BE {comment {NL}},BE {comment {FR}},?,Common Name,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Habitat,Host plant,Overwintering,Comments in native language
11,80078,Adalia bipunctata,sexpustulata,black,,,,Black,4,5,,,4.0 - 5.0,one colour,with white patch on each side,,Black,Red spots,6,No,,Black,Aphids ,,,YES,6,2-spot ladybird,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",Very varied,,,"In houses, on bark",,YES,25,Lienka dvojbodková,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,26,Slunéčko dvoutečné,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,6,Coccinella dai due punti,Deciduous trees and hedgerows ,,,Grasslands,Meadows,Sand dunes,Agricultural areas,,,,,,,Very varied,,,"In houses, on bark","Common species, especially on trees and shrubs.","Specie comune, soprattutto sulle piante arboree ed arbustive.",YES,3,,Deciduous woodland,,,Forests and woodlands,Agricultural areas,,,,,,,,,Tilia sp. ,Orchards (e.g. peach and orange trees),,unknown,Very common species in the mainland and associated to Tilia and orchards (e.g. peach and orange trees). Present in the Archipelagos of the Azores (previously recorded) and Madeira.,"Muito comum em Portugal Continental, presente em Tilia e pomares (e.g. pessegueiros e laranjeiras). Espécie presente nos arquipélagos dos Açores (anteriormente inventariada) e da Madeira",YES,8,Tweestippelig lieveheersbeestje,Coccinelle à 2 points,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,,,,,Very varied,,,"In houses, on bark",,,,,,,,,,,,,,,,,,
12,80078,Adalia bipunctata,quadrimaculata,black,,,,Black,4,5,,,4.0 - 5.0,one colour,with white patch on each side,,Black,Red spots,4,No,,Black,Aphids ,,,YES,7,2-spot ladybird,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",Very varied,,,"In houses, on bark",,YES,32,Lienka dvojbodková,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,32,Slunéčko dvoutečné,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,Very varied,,,"In houses, on bark",,,YES,7,Coccinella dai due punti,Deciduous trees and hedgerows ,,,Grasslands,Meadows,Sand dunes,Agricultural areas,,,,,,,Very varied,,,"In houses, on bark","Common species, especially on trees and shrubs.","Specie comune, soprattutto sulle piante arboree ed arbustive.",YES,4,,Deciduous woodland,,,Forests and woodlands,Agricultural areas,,,,,,,,,Tilia sp. ,Orchards (e.g. peach and orange trees),,unknown,Very common species in the mainland and associated to Tilia and orchards (e.g. peach and orange trees). Present in the Archipelagos of the Azores (previously recorded) and Madeira.,"Muito comum em Portugal Continental, presente em Tilia e pomares (e.g. pessegueiros e laranjeiras). Espécie presente nos arquipélagos dos Açores (anteriormente inventariada) e da Madeira",YES,9,Tweestippelig lieveheersbeestje,Coccinelle à 2 points,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,"Urban, artificial habitats",,,,,,,Very varied,,,"In houses, on bark",,,,,,,,,,,,,,,,,,
13,113039,Psyllobora vigintiduopunctata,,yellow,,,,Yellow or black,3,4,,,3 - 4.0,with spots,,,Yellow with five discrete black spots,Black spots,20-22,Occasionally,No,Brown,Mildews,,,YES,14,22-spot ladybird,Low vegetation,,,Grasslands,Agricultural areas,Forests and woodlands,"Gardens, allotments and parklands","Various, particularly hogweed",Various deciduous trees,,In low herbage,,YES,10,Lienka múčnatá,Low vegetation,Deciduous trees,,Grasslands,Agricultural areas,Forests and woodlands,"Gardens, allotments and parklands",,,"Various, particularly hogweed",,,In low herbage,,,YES,10,Slunéčko dvaadvacetitečné,Low vegetation,Deciduous trees,,Grasslands,Agricultural areas,Forests and woodlands,"Gardens, allotments and parklands",,,"Various, particularly hogweed",,,In low herbage,,,YES,8,,Low vegetation,Deciduous trees,,Grasslands,"Gardens, allotments and parklands",Agricultural areas,Sand dunes,,,,,,,"Various, particularly hogweed",,,In low herbage,Very common species,Specie molto comune,YES,24,,Low vegetation,Deciduous trees,,Grasslands,"Gardens, allotments and parklands",Agricultural areas,Sand dunes,,,,,,,"Various, particularly hogweed",,,In low herbage,There is no updated information on their habitats in Portugal. Not present in the Archipelagos of the Azores and  Madeira., Não há nformação atualizada sobre os seus habitats.  Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,10,"Tweeëntwintigstippelig lieveheersbeestje, Citroenlieveheersbeestje","Coccinelle à 22 points, Coccinelle marsupilami",Low vegetation,Deciduous trees,,Grasslands,Agricultural areas,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,"Various, particularly hogweed",Various deciduous trees,,In low herbage,,,,,,,,,,,,,,,,,,
14,238119,Subcoccinella vigintiquatuorpunctata,,yellow,orange,red,,Dark orange,3,4,,,3 - 4.0,with spots,,,Russet with black spots ,Black spots,0-26 (usually 20),Common,Rare,Russet ,Leaves ,,,YES,17,24-spot ladybird,"Grassland, meadows ",,,Grasslands,Agricultural areas,"Gardens, allotments and parklands",,Various grasses and low plants,Leguminous plants (Fabaceae),,"Low herbage, grass tussocks ",,YES,38,Lienočka lucernová,"Grassland, meadows ",,,Grasslands,Agricultural areas,,,,,Various grasses and low plants,Leguminous plants (Fabaceae),,"Low herbage, grass tussocks ",,,YES,38,Vlnáč vojtěškový,"Grassland, meadows ",,,Grasslands,Agricultural areas,,,,,Various grasses and low plants,Leguminous plants (Fabaceae),,"Low herbage, grass tussocks ",,,YES,37,,"Grassland, meadows ",,,Agricultural areas,"Gardens, allotments and parklands",Grasslands,Sand dunes,,,,,,,Various grasses and low plants,Leguminous plants (Fabaceae),,"Low herbage, grass tussocks ",It feeds in particular on leguminous plants of the genus Medicago and Saponaria,Si nutre in particolare delle leguminose dei generi Medicago e Saponaria,YES,9,,"Grassland, meadows ",,,Agricultural areas,"Gardens, allotments and parklands",Grasslands,Sand dunes,,,,,,,Various grasses and low plants,Leguminous plants (Fabaceae),,"Low herbage, grass tussocks ",There is no updated information on their habitats in Portugal. Not present in the Archipelagos of the Azores and  Madeira., Não há nformação atualizada sobre os seus habitats. Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,31,Vierentwintigstippelig lieveheersbeestje,Coccinelle à 24 points,"Grassland, meadows ",,,Agricultural areas,"Gardens, allotments and parklands",Grasslands,Sand dunes,,,,,,,Various grasses and low plants,,,"Low herbage, grass tussocks ",,,,,,,,,,,,,,,,,,
15,145782,Coccinella quinquepunctata,,red,,,,Red,4,5,,,4.0 - 5.0,with white patch on each side,,,Black with anterior-lateral white marks,Black spots,5-9 (usually 5),Very rare,No,Black,Aphids ,,,YES,37,5-spot ladybird,Unstable river shingle,,,River shingle,,,,Various,,,"Gorse, under shingle stones, in leaf litter",,YES,40,Lienka päťbodková,Unstable river shingle,Forest margins,,"Gardens, allotments and parklands",Meadows,Agricultural areas,Forests and woodlands,,,Various,,,"Gorse, under shingle stones, in leaf litter",,,YES,40,Slunéčko pětitečné,Unstable river shingle,Forest margins,,"Gardens, allotments and parklands",Meadows,Agricultural areas,Forests and woodlands,,,Various,,,"Gorse, under shingle stones, in leaf litter",,,YES,46,,Low herbage,,,River shingle,,,,,,,,,,Various,,,"Gorse, under shingle stones, in leaf litter",Absent in the Islands,Assente nelle isole,NO,,,,,,,,,,,,,,,,,,,,,,YES,19,Vijfstippelig lieveheersbeestje,Coccinelle à cinq points,Herbage and shrub layers on well drained soils,,,"Urban, artificial habitats",Agricultural areas,Heathland,,,,,,,,Various,,,"Gorse, under shingle stones, in leaf litter",,,,,,,,,,,,,,,,,,
16,125374,Coccinella septempunctata,,red,,,,Red,5,6,7,8,5.0 - 8.0,with white patch on each side,,,Black with anterior-lateral white marks,Black spots,0-9 but nearly always 7,Very rare,Very rare,Black,Aphids ,,,YES,1,7-spot ladybird,"Varied, but often low herbage",,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,,Very varied,,,"In low herbage, in conifer foliage",,YES,2,Lienka sedembodková,"Varied, but often low herbage",,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,Grasslands,Meadows,,Very varied,,,"In low herbage, in conifer foliage",,,YES,2,Slunéčko sedmitečné,"Varied, but often low herbage",,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,Grasslands,Meadows,,Very varied,,,"In low herbage, in conifer foliage",,,YES,4,Coccinella dai sette punti o Coccinella comune,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,Heathland,"Gardens, allotments and parklands","Urban, artificial habitats",,,Very varied,,,Leaf litter,"Common in every habitat, especially on herbs and shrubs. Overwintering - also under the stones after migrating to mountains.","Comune in ogni ambiente, specialmente su vegetazione erbacea e arbustiva. Svernamento - Lettiera in terreno forestale, ma anche sotto le pietre dopo la migrazione sulle montagne.",YES,1,,"Varied, but often low herbage",,,Grasslands,Agricultural areas,,,,,,,,,Very varied,,,Leaf litter,Species common throughout the continental territory na well common in every habitat. Not present anymore in the Archipelago of the Azores ,Espécie comum em todo o território continental bem como em todos os habitats. Não está presente no Arquipélago dos Açores.,YES,1,Zevenstippelig lieveheersbeestje,Coccinelle à sept points,Very varied,,,"Gardens, allotments and parklands",Agricultural areas,Forests and woodlands,,,,,,,,Very varied,,,"In low herbage, in conifer foliage",,,,,,,,,,,,,,,,,,
17,27424,Hippodamia variegata,,red,orange,,,Red,4,5,,,4.0 - 5.0,none of them,,,White with black pattern,Black spots,3-15  (usually 9),Common,No,Black,Aphids ,,,YES,30,Adonis ladybird,Herbage and shrub layers on well drained soils,,,Agricultural areas,"Gardens, allotments and parklands",Grasslands,,Various,,,In leaf litter or on low plants,,YES,3,Lienka pestrá,Herbage and shrub layers on well drained soils,,,Agricultural areas,Grasslands,,,,,Various,,,In leaf litter or on low plants,,,YES,3,Slunéčko pestré,Herbage and shrub layers on well drained soils,,,Agricultural areas,Grasslands,,,,,Various,,,In leaf litter or on low plants,,,YES,20,Coccinella dei terreni incolti,Herbage and shrub layers on well drained soils,,,"Gardens, allotments and parklands",Grasslands,Agricultural areas,,,,,,,,Various,,,In leaf litter or on low plants,"The species is able to tolerate different environment and climate conditions, it is found mainly on plants and flowers, but is present along coastal areas, in herbs and horticoltural crops, gardens and uncoltivated fields, preferring exposed and sunny environment. it is found on shrubs and herbs","Specie in grado di tollerare ambienti e condizioni climatiche diverse, viene ritrovata prevalentemente su piante e fiori, ma è presente lungo i litorali, nelle coltivazioni erbacee ed ortive, giardini e campi incolti, prediligendo comunque ambienti esposti ed assolati. Si rinviene su arbusti e piante erbacee",YES,8,,"Varied, but often low herbage",,,"Gardens, allotments and parklands",Agricultural areas,Grasslands,,,,,,,,Various,,,In leaf litter or on low plants,Species common throughout the continental territory. Can be found in vegetable gardenson a variety of host plants. Not present in the Archipelago of the Azores.,"Espécie comum em todo o território continental. Pode ser encontada en hortas, sobre uma variedade de hospedeiros. Não está presente no Arquipélago dos Açores.",YES,18,Ruigtelieveheersbeestje,Coccinelle des friches,Herbage and shrub layers on well drained soils,,,Agricultural areas,"Urban, artificial habitats",Grasslands,,,,,,,,Various,,,In leaf litter or on low plants,"Typically a species of ruderal, warm, dry terrains",,,,,,,,,,,,,,,,,
18,15282,Henosepilachna argus,,orange,,,,Orange,6,7,,,5.0 - 7.0,with spots,one colour,,Orange,Black spots,11,Rare,No,Brown,Leaves of white bryony and other cucurbits,,,YES,36,Bryony ladybird,Low herbage,,,Agricultural areas,"Gardens, allotments and parklands",,,White bryony,,,Low herbage  ,,YES,58,Lienočka Argusova,Low herbage,,,Agricultural areas,"Gardens, allotments and parklands",,,,,White bryony,,,Low herbage  ,,,YES,58,Vlnáč Argus,Low herbage,,,Agricultural areas,"Gardens, allotments and parklands",,,,,White bryony,,,Low herbage  ,,,YES,33,,Low herbage,,,Agricultural areas,,,,,,,,,,White bryony,Plants of the family Cucurbitaceae,,Low herbage  ,"It lives on plants belonging to Cucurbitaceae family (e.g. genus Bryonia, Ecballium and Cucumis)","Vive sulle piante appartenenti alla famiglia delle Cucurbitaceae (ad esempio piante dei generi Bryonia, Ecballium e Cucumis)",YES,23,,Low herbage,,,Agricultural areas,"Gardens, allotments and parklands",,,,,,,,,Unknown,,,Unknown,There is no updated information on their habitats in Portugal. Not present in the Archipelagos of the Azores and  Madeira., Não há nformação atualizada sobre os seus habitats. Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,36,Heggenranklieveheersbeestje,"Coccinelle des melons, Coccinelle de la bryone",Low herbage,,,Sand dunes,"Gardens, allotments and parklands",,,,,,,,,White bryony,Plants of the family Cucurbitaceae,,Low herbage  ,,,,,,,,,,,,,,,,,,
19,105375,Calvia quatuordecimguttata,,brown,,,,Maroon-brown,4,5,,,4.0 - 5.0,with spots,,,Maroon with lateral posterior off-white marks,Cream spots,14,Very rare,Very rare,Brown,Aphids and psyllids,,,YES,16,Cream-spot ladybird,Deciduous trees and hedgerows ,Forests,,Forests and woodlands,"Gardens, allotments and parklands",,,Various deciduous trees,Various conifers,Shrubs,"Plant litter, bark crevices, beech nuts",,YES,7,Lienka štrnásťškvrnná,Deciduous trees and hedgerows ,Forests,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various deciduous trees,Various conifers,Shrubs,"Plant litter, bark crevices, beech nuts",,,YES,7,Slunéčko čtrnáctiskvrnné,Deciduous trees and hedgerows ,Forests,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Various deciduous trees,Various conifers,Shrubs,"Plant litter, bark crevices, beech nuts",,,YES,39,,Deciduous trees and hedgerows ,Forests,,"Gardens, allotments and parklands",Forests and woodlands,,,,,,,,,Deciduous trees,Alder,,"Plant litter, bark crevices, beech nuts","Species with strong arboreal habits, conifers excluded","Specie con spiccate abitudini arboricole, ad esclusione delle conifere",YES,35,,Deciduous trees and hedgerows ,Forests,,"Gardens, allotments and parklands",Forests and woodlands,,,,,,,,,Unknown,,,Unknown,Not present in Madeira and Azores Archipelago,Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,14,Roomvleklieveheersbeestje,Coccinelle à 14 points blancs,Deciduous trees and hedgerows ,Forests,,"Gardens, allotments and parklands",Forests and woodlands,,,,,,,,,Deciduous trees,Alder,,"Plant litter, bark crevices, beech nuts",,,,,,,,,,,,,,,,,,
20,253139,Harmonia quadripunctata,nebulosa,orange,red,,,"Salmon, orange-red",5,6,,,5.0 - 6.0,with spots,,,White with 5-9 black spots,Cream streaking,4,Not common,Rare,Brown,Aphids ,,,YES,25,Cream-streaked ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Needled conifers,,,On conifers,,YES,20,Lienka štvorbodková,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Needled conifers,,,On conifers,,,YES,20,Slunéčko čtyřtečné,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Needled conifers,,,On conifers,,,YES,30,,Conifer woodlands,Deciduous trees,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Needled conifers,Linden,,On conifers,Arboreal species tied to conifers but sometimes also to deciduous trees. Overwintering - also under the bark of deciduous trees.,Specie arboricola legata soprattutto alle conifere ma in parte anche a caducifoglie. Svernamento - sulle conifere e sotto la scorza di alberi decidui.,YES,26,,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,Needled conifers,,,On conifers,"Common in Pinus, Firs and Cypresses. Not present in the Archipelago of the Azores.","Comum em pinheiros, abetos e Ciprestes. Não está presente no Arquipélago dos Açores.",YES,28,Harlekijnlieveheersbeestje,"Coccinelle arlequin, Coccinelle à 4 points",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Needled conifers,,,On conifers and under the bark of deciduous trees,,,,,,,,,,,,,,,,,,
21,253139,Harmonia quadripunctata,sedecimpunctata,orange,red,,,"Salmon, orange-red",5,6,,,5.0 - 6.0,with spots,,,White with 5-9 black spots,Black spots,16,Not common,Rare,Brown,Aphids ,,,YES,24,Cream-streaked ladybird,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,Needled conifers,,,On conifers,,YES,19,Lienka štvorbodková,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Needled conifers,,,On conifers,,,YES,19,Slunéčko čtyřtečné,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,Needled conifers,,,On conifers,,,YES,28,,Conifer woodlands,Deciduous trees,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Needled conifers,Linden,,On conifers,Arboreal species tied to conifers but sometimes also to deciduous trees. Overwintering - also under the bark of deciduous trees.,Specie arboricola legata soprattutto alle conifere ma in parte anche a caducifoglie. Svernamento - sulle conifere e sotto la scorza di alberi decidui.,YES,25,,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,Needled conifers,,,On conifers,"Common in Pinus, Firs and Cypresses. Not present in the Archipelago of the Azores.","Comum em pinheiros, abetos e Ciprestes. Não está presente no Arquipélago dos Açores.",YES,29,Harlekijnlieveheersbeestje,"Coccinelle arlequin, Coccinelle à 4 points",Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Needled conifers,,,On conifers and under the bark of deciduous trees,,,,,,,,,,,,,,,,,,
22,123673,Anatis ocellata,,red,orange,brown,,Russet or burgundy,7,8,9,,7.0 - 8.5,M-shape,none of them,,White with black M-mark,Black spots with or without cream rings around them,0-23 (usually 15),Rare,Very rare,Black,Aphids ,,,YES,23,Eyed ladybird,Needled conifers,,,Forests and woodlands,"Gardens, allotments and parklands",,,"Needled conifers, particularly pines",,,In soil or leaf litter,,YES,17,Lienka veľká,Needled conifers,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Needled conifers, particularly pines",,,In soil or leaf litter,,,YES,17,Slunéčko velké,Needled conifers,,,Forests and woodlands,"Gardens, allotments and parklands","Urban, artificial habitats",,,,"Needled conifers, particularly pines",,,In soil or leaf litter,,,YES,24,Coccinella ocellata,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,"Needled conifers, particularly pines",,,In soil or leaf litter,"Arboreal species tied to conifers, it is present only in Central and Northern Italy. The Appennino Tosco-Emiliano is the southern limit of its distribution","Specie arboricola legata alle conifere, presente nell'Italia settentrionale e centrale, fino all'Appennino Tosco-Emiliano che costituisce il limite meridionale della sua distribuzione",YES,17,,Conifer woodlands,,,Forests and woodlands,,,,,,,,,,Needled conifers,,,In soil or leaf litter,Arboreal species tied to conifers. Not present in the Archipelagos of the Azores and  Madeira.,Espécies arborícolas associadas a coníferas. Não está presente nos Arquipélagos dos Açores e da Madeira.,YES,22,Oogvleklieveheersbeestje,Coccinelle ocellée,Conifer woodlands,,,Forests and woodlands,"Gardens, allotments and parklands",,,,,,,,,Needled conifers,,,"In soil or leaf litter, in pine cones",,,,,,,,,,,,,,,,,,
23,171445,Harmonia axyridis,spectabilis,black,,,,Black,6,7,8,,5.0 - 8.0,with white patch on each side,,,Black with a white patch on each side,Orange-red spots,4,Sometimes,,Brown,"Aphids, coccids, adelgids, coccinellids, fruit",,,YES,3,Harlequin ladybird,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,YES,9,Lienka východná,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,9,Slunéčko východní ,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,2,Coccinella arlecchino,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Meadows,Heathland,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces","Alien species recently introduces, very common in every habitat","Specie aliena di recente introduzione, molto comune in tutti gli ambienti",YES,40,"Joaninha vermelha, Joaninha asiática",unknown,,,,,,,,,,,,,,,,unknown,status unknown,,YES,3,Veelkleurig Aziatisch lieveheersbeestje,Coccinelle asiatique,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,,,,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,,,,,,,,,,,,,,,,
24,123471,Harmonia axyridis,conspicua,black,,,,Black,6,7,8,,5.0 - 8.0,with white patch on each side,,,Black with a white patch on each side,Orange-red spots,2,Sometimes,,Brown,"Aphids, coccids, adelgids, coccinellids, fruit",,,YES,4,Harlequin ladybird,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,YES,15,Lienka východná,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,15,Slunéčko východní ,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,3,Coccinella arlecchino,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Meadows,Heathland,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces","Alien species recently introduces, very common in every habitat","Specie aliena di recente introduzione, molto comune in tutti gli ambienti",YES,41,"Joaninha vermelha, Joaninha asiática",unknown,,,,,,,,,,,,,,,,unknown,status unknown,,YES,4,Veelkleurig Aziatisch lieveheersbeestje,Coccinelle asiatique,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,,,,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,,,,,,,,,,,,,,,,
25,48704,Harmonia axyridis,succinea,yellow,orange,red,,Orange-red,6,7,8,,5.0 - 8.0,M-shape,one colour with dots,,"White or cream with up to 5 spots, or fused lateral spots forming 2 curved lines, M-shaped mark or solid trapezoid",Black spots,0-20,Sometimes,Common,Brown,"Aphids, coccids, adelgids, coccinellids, fruit",,,YES,2,Harlequin ladybird,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,YES,1,Lienka východná,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,1,Slunéčko východní ,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Agricultural areas,Heathland,Wet habitats,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,YES,1,Coccinella arlecchino,Very varied,,,Sand dunes,River shingle,Wet habitats,Agricultural areas,Grasslands,"Gardens, allotments and parklands","Urban, artificial habitats",Forests and woodlands,Meadows,Heathland,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces","Alien species recently introduces, very common in every habitat","Specie aliena di recente introduzione, molto comune in tutti gli ambienti",YES,42,"Joaninha vermelha, Joaninha asiática",unknown,,,,,,,,,,,,,,,,unknown,status unknown,,YES,2,Veelkleurig Aziatisch lieveheersbeestje,Coccinelle asiatique,Very varied,,,"Gardens, allotments and parklands","Urban, artificial habitats",,,,,,,,,Various deciduous trees,Various conifers,Shrubs,"In houses, on rocky surfaces",,,,,,,,,,,,,,,,,,
